['\xef\xbb\xbfCod;Ingredientes;Proteina;Gordura Total;Gordura Saturada;Gordura Trans;Fibra ;S\xc3\xb3dio;Carboidrato
['100;Brócolis', ' cozido;2.13;0.46;0.10;;3.42;2.12;4.37
['101;Brócolis', ' cru;3.64;0.27;0.14;;2.88;3.33;4.03
['102;Cará', ' cozido;1.53;0.11;#N/A;;2.63;1.01;18.85
['103;Cará', ' cru;2.28;0.14;#N/A;;7.27;Tr;22.95
['104;Caruru', ' cru;3.20;0.59;0.10;;4.47;13.67;5.97
['105;Catalonha', ' crua;1.87;0.28;0.10;;2.05;9.39;4.75
['106;Catalonha', ' refogada;1.95;4.81;0.71;;3.65;24.72;4.81
['107;Cebola', ' crua;1.71;0.08;#N/A;;2.19;0.60;8.85
['108;Cebolinha', ' crua;1.87;0.35;#N/A;;3.55;1.60;3.37
['109;Cenoura', ' cozida;0.85;0.22;Tr;;2.63;7.88;6.69
['110;Cenoura', ' crua;1.32;0.17;#N/A;;3.18;3.33;7.66
['111;Chicória', ' crua;1.14;0.14;#N/A;;2.20;13.52;2.85
['112;Chuchu', ' cozido;0.41;Tr;#N/A;;1.04;1.81;4.79
['113;Chuchu', ' cru;0.70;0.06;#N/A;;1.28;Tr;4.14
['114;Coentro', ' folhas desidratadas;20.88;10.39;#N/A;;37.29;18.26;47.96
['115;Couve', ' manteiga', ' crua;2.87;0.55;0.12;;3.12;6.17;4.33
['116;Couve', ' manteiga', ' refogada ;1.67;6.59;1.00;;5.74;11.45;8.71
['117;Couve-flor', ' crua;1.91;0.21;#N/A;;2.35;3.44;4.52
['118;Couve-flor', ' cozida;1.24;0.27;0.10;;2.13;1.79;3.88
['119;Espinafre', ' Nova Zelândia', ' cru;2.00;0.24;#N/A;;2.10;17.09;2.57
['120;Espinafre', ' Nova Zelândia', ' refogado;2.72;5.43;0.90;;2.52;47.02;4.24
['121;Farinha', ' de mandioca', ' crua;1.55;0.28;0.10;;6.39;1.02;87.90
['122;Farinha', ' de mandioca', ' torrada;1.23;0.29;0.10;;6.54;10.31;89.19
['123;Farinha', ' de puba;1.62;0.47;0.23;;4.24;3.61;87.29
['124;Fécula', ' de mandioca;0.52;0.28;#N/A;;0.65;2.45;81.15
['125;Feijão', ' broto', ' cru;4.17;0.10;#N/A;;1.97;1.79;7.76
['126;Inhame', ' cru;2.05;0.21;0.08;;1.65;Tr;23.23
['127;Jiló', ' cru;1.40;0.22;0.07;;4.83;Tr;6.19
['128;Jurubeba', ' crua;4.41;3.91;0.50;;23.92;0.77;23.06
['129;Mandioca', ' cozida;0.58;0.30;0.10;;1.56;0.91;30.09
['130;Mandioca', ' crua;1.13;0.30;0.06;;1.88;2.15;36.17
['131;Mandioca', ' farofa', ' temperada;2.06;9.12;1.90;;7.82;574.51;80.30
['132;Mandioca', ' frita;1.38;11.20;1.70;;1.87;8.94;50.25
['133;Manjericão', ' cru;1.99;0.39;0.13;;3.31;3.89;3.64
['134;Maxixe', ' cru;1.39;0.07;#N/A;;2.19;10.99;2.73
['135;Mostarda', ' folha', ' crua;2.11;0.17;#N/A;;1.89;2.88;3.24
['136;Nhoque', ' batata', ' cozido;5.86;1.94;0.56;;1.78;7.07;36.78
['137;Nabo', ' cru;1.20;0.05;#N/A;;2.64;2.46;4.15
['138;Palmito', ' juçara', ' em conserva;1.79;0.40;0.10;;3.15;513.82;4.33
['139;Palmito', ' pupunha', ' em conserva;2.46;0.45;#N/A;;2.55;562.69;5.51
['140;Pão', ' de queijo', ' assado;5.12;24.57;#N/A;;0.56;773.49;34.24
['141;Pão', ' de queijo', ' cru;3.65;13.99;3.40;;0.98;404.99;38.51
['142;Pepino', ' cru;0.87;Tr;#N/A;;1.12;Tr;2.04
['143;Pimentão', ' amarelo', ' cru;1.22;0.44;#N/A;;1.92;Tr;5.96
['144;Pimentão', ' verde', ' cru;1.05;0.15;#N/A;;2.56;Tr;4.89
